year,predicted_ev_share_percent,vehicle_group
2026,19.62414230055456,o_to_dien
2026,14.977498041639592,xe_may_dien
2027,22.292317810756458,o_to_dien
2027,16.36877695320307,xe_may_dien
2028,25.20305473097672,o_to_dien
2028,17.88653576581771,xe_may_dien
2029,28.11379165119691,o_to_dien
2029,19.40429457843239,xe_may_dien
2030,31.024528571417175,o_to_dien
2030,20.922053391047104,xe_may_dien
2031,33.93526549163744,o_to_dien
2031,22.439812203661745,xe_may_dien
2032,36.846002411857626,o_to_dien
2032,23.95757101627642,xe_may_dien
2033,39.75673933207789,o_to_dien
2033,25.475329828891137,xe_may_dien
2034,42.66747625229808,o_to_dien
2034,26.99308864150578,xe_may_dien
2035,45.57821317251834,o_to_dien
2035,28.510847454120455,xe_may_dien
